description,brand,calories,protein,fat,carbohydrates,fiber,sugar,sodium
"Broccoli, raw",,31.0,2.57,0.34,6.27,2.4,,36.0
"Broccoli, raw",,34.0,2.82,0.37,6.64,2.6,,33.0
"Cabbage, raw",,103.0,1.28,0.1,5.8,2.5,,18.0
"Cactus, raw",,16.0,1.32,0.09,3.33,2.2,,21.0
"Cantaloupe, raw",,38.0,0.82,0.18,8.16,0.8,,30.0
"Cardoon, raw",,17.0,0.7,0.1,4.07,1.6,,170.0
"Carrots, raw",,44.0,0.87,0.24,9.68,2.9,,75.0
"Carrots, raw",,173.0,0.93,0.24,9.58,2.8,,69.0
"Cassava, raw",,160.0,1.36,0.28,38.1,1.8,,14.0
"Cauliflower, raw",,25.0,1.92,0.28,4.97,2.0,,30.0
"Cauliflower, raw",,25.0,1.92,0.28,4.97,2.0,,30.0
"Celeriac, raw",,42.0,1.5,0.3,9.2,1.8,,100.0
"Celery, raw",,17.0,0.49,0.16,3.32,1.6,,97.0
"Celery, raw",,14.0,0.69,0.17,2.97,1.6,,80.0
"Celtuce, raw",,18.0,0.85,0.3,3.65,1.7,,11.0
"Chard, raw",,19.0,1.8,0.2,3.74,1.6,,213.0
"Cherimoya, raw",,75.0,1.57,0.68,17.7,3.0,,7.0
"Cherries, raw",,71.0,1.04,0.19,16.16,2.1,,0.0
"Chives, raw",,30.0,3.27,0.73,4.35,2.5,,3.0
"Chives, raw",,30.0,3.27,0.73,4.35,2.5,,3.0
"Cilantro, raw",,23.0,2.13,0.52,3.67,2.8,,46.0
"Clams, raw",,86.0,14.67,0.96,3.57,0.0,,56.0
"Clementines, raw",,198.0,0.85,0.15,12.0,1.7,,1.0
"Collards, raw",,32.0,3.02,0.61,5.42,4.0,,17.0
"Collards, raw",,133.0,3.02,0.61,5.42,4.0,,17.0
"Corn, raw",,86.0,3.27,1.35,18.7,2.0,,15.0
"Cornsalad, raw",,21.0,2.0,0.4,3.6,,,4.0
"Crabapples, raw",,76.0,0.4,0.3,20.0,,,1.0
"Cranberries, raw",,46.0,0.46,0.13,11.97,3.6,,2.0
"Cranberries, raw",,191.0,0.46,0.13,12.0,3.6,,2.0
"Cress, raw",,32.0,2.6,0.7,5.5,1.1,,14.0
"Cucumber, raw",,16.0,0.62,0.18,2.95,0.5,,2.0
"Dock, raw",,22.0,2.0,0.7,3.2,2.9,,4.0
"Eggplant, raw",,25.0,0.98,0.18,5.88,3.0,,2.0
"Eggplant, raw",,104.0,0.98,0.18,5.88,3.0,,2.0
"Elderberries, raw",,73.0,0.66,0.5,18.4,7.0,,6.0
"Endive, raw",,17.0,1.25,0.2,3.35,3.1,,22.0
"Epazote, raw",,32.0,0.33,0.52,7.44,3.8,,43.0
"Eppaw, raw",,150.0,4.6,1.8,31.7,,,12.0
"Feijoa, raw",,61.0,0.71,0.42,15.2,6.4,,3.0
"Fig, raw",,74.0,0.75,0.3,19.18,2.9,,1.0
"Figs, raw",,310.0,0.75,0.3,19.2,2.9,,1.0
"Fish, raw",,94.0,17.22,2.34,0.0,0.0,,83.0
"Garlic, raw",,143.0,6.62,0.38,28.2,2.7,,17.0
"Garlic, raw",,597.0,6.62,0.38,28.2,2.7,,
"Garlic, raw",,623.0,6.36,0.5,33.1,2.1,,17.0
"Gooseberries, raw",,44.0,0.88,0.58,10.2,4.3,,1.0
"Grapefruit, raw",,42.0,0.77,0.14,10.66,1.6,,0.0
"Grapes, raw",,83.0,0.9,0.2,19.4,0.9,,5.0
"Guava, raw",,68.0,2.55,0.95,14.32,5.4,,2.0
"Jackfruit, raw",,95.0,1.72,0.64,23.2,1.5,,2.0
"Jicama, raw",,38.0,0.72,0.09,8.82,4.9,,4.0
"Jujube, raw",,79.0,1.2,0.2,20.2,,,3.0
"Kale, raw",,35.0,2.92,1.49,4.42,4.1,,53.0
"Kale, raw",,43.0,2.92,1.49,4.42,4.1,,53.0
"Kale, raw",,35.0,2.92,1.49,4.42,4.1,,53.0
"Kohlrabi, raw",,27.0,1.7,0.1,6.2,3.6,,20.0
"Kohlrabi, raw",,27.0,1.7,0.1,6.2,3.6,,20.0
"Kumquat, raw",,71.0,1.88,0.86,15.9,6.5,,10.0
"Kumquats, raw",,296.0,1.88,0.86,15.9,6.5,,10.0
"Lambsquarters, raw",,43.0,4.2,0.8,7.3,4.0,,43.0
"Lemon, raw",,29.0,1.1,0.3,9.32,2.8,,2.0
"Lentils, raw",,352.0,24.6,1.06,63.4,10.7,,6.0
"Lettuce, raw",,20.0,0.92,0.1,3.69,1.3,,23.0
"Lime, raw",,30.0,0.7,0.2,10.54,2.8,,2.0
"Limes, raw",,126.0,0.7,0.2,10.5,2.8,,2.0
"Litchis, raw",,66.0,0.83,0.44,16.5,1.3,,1.0
"Longans, raw",,60.0,1.31,0.1,15.1,1.1,,0.0
"Loquats, raw",,47.0,0.43,0.2,12.1,1.7,,1.0
"Mango, raw",,60.0,0.82,0.38,14.98,1.6,,1.0
"Mangos, raw",,250.0,0.82,0.38,15.0,1.6,,1.0
"Millet, raw",,378.0,11.0,4.22,72.8,8.5,,5.0
"Mulberries, raw",,43.0,1.44,0.39,9.8,1.7,,10.0
"Mushrooms, raw",,31.0,2.9,0.35,4.13,1.7,,6.0
"Nectarine, raw",,43.0,1.06,0.28,9.18,1.5,,13.0
"Nectarines, raw",,44.0,1.06,0.32,10.6,1.7,,0.0
"Nectarines, raw",,39.0,1.06,0.28,9.18,1.5,,13.0
"Nopales, raw",,16.0,1.32,0.09,3.33,2.2,,21.0
"Oats, raw",,379.0,13.15,6.52,67.7,10.1,,6.0
"Oheloberries, raw",,28.0,0.38,0.22,6.84,,,1.0
"Okra, raw",,33.0,1.93,0.19,7.45,3.2,,7.0
"Onions, raw",,166.0,1.1,0.1,9.34,1.7,,4.0
"Onions, raw",,38.0,0.86,0.08,8.46,1.7,,1.0
"Orange, raw",,50.0,0.92,0.14,11.78,2.2,,4.0
"Oysters, raw",,51.0,5.71,1.71,2.72,0.0,,85.0
"Papaya, raw",,43.0,0.47,0.26,10.82,1.7,,8.0
"Papayas, raw",,43.0,0.47,0.26,10.8,1.7,,8.0
"Parsley, raw",,36.0,2.97,0.79,6.33,3.3,,56.0
"Parsnips, raw",,314.0,1.2,0.3,18.0,4.9,,10.0
"Peach, raw",,46.0,0.91,0.27,10.1,1.5,,13.0
"Pear, raw",,59.0,0.37,0.15,15.18,3.1,,3.0
"Pears, raw",,239.0,0.36,0.14,15.2,3.1,,1.0
"Persimmon, raw",,70.0,0.58,0.19,18.59,3.6,,1.0
"Pineapple, raw",,60.0,0.46,0.21,14.09,0.9,,0.0
"Plantain, raw",,122.0,1.3,0.35,31.89,1.7,,4.0
"Plum, raw",,46.0,0.7,0.28,11.42,1.4,,0.0
"Plums, raw",,192.0,0.7,0.28,11.4,1.4,,0.0
"Pomegranate, raw",,83.0,1.67,1.17,18.7,4.0,,3.0
"Pomegranates, raw",,83.0,1.67,1.17,18.7,4.0,,3.0
"Pummelo, raw",,38.0,0.76,0.04,9.62,1.0,,1.0
"Pumpkin, raw",,26.0,1.0,0.1,6.5,0.5,,1.0
"Purslane, raw",,84.0,2.03,0.36,3.39,,,45.0
"Quinces, raw",,57.0,0.4,0.1,15.3,1.9,,4.0
"Radicchio, raw",,23.0,1.43,0.25,4.48,0.9,,22.0
"Radicchio, raw",,23.0,1.43,0.25,4.48,0.9,,22.0
"Radishes, raw",,66.0,0.68,0.1,3.4,1.6,,39.0
"Raspberries, raw",,52.0,1.2,0.65,11.9,6.5,,1.0
"Raspberries, raw",,57.0,1.01,0.19,12.9,6.5,,0.0
"Rhubarb, raw",,21.0,0.9,0.2,4.54,1.8,,4.0
"Roselle, raw",,49.0,0.96,0.64,11.3,,,6.0
"Rowal, raw",,111.0,2.3,2.0,23.9,6.2,,4.0
"Rutabaga, raw",,37.0,1.08,0.16,8.62,2.3,,12.0
"Rutabagas, raw",,37.0,1.08,0.16,8.62,2.3,,12.0
"Sapodilla, raw",,83.0,0.44,1.1,20.0,5.3,,12.0
"Seaweed, raw",,41.0,3.51,0.49,7.94,0.7,,384.0
"Shallots, raw",,301.0,2.5,0.1,16.8,3.2,,12.0
"Snowpeas, raw",,42.0,2.8,0.2,7.55,2.6,,4.0
"Soursop, raw",,66.0,1.0,0.3,16.8,3.3,,14.0
"Spinach, raw",,27.0,2.85,0.62,2.41,1.6,,111.0
"Spinach, raw",,97.0,2.86,0.39,3.63,2.2,,79.0
"Starfruit, raw",,31.0,1.04,0.33,6.73,2.8,,2.0
"Strawberries, raw",,136.0,0.67,0.3,7.68,2.0,,1.0
"Strawberries, raw",,36.0,0.64,0.22,7.96,1.8,,0.0
"Tamarinds, raw",,239.0,2.8,0.6,62.5,5.1,,28.0
"Tangerine, raw",,53.0,0.81,0.31,13.34,1.8,,2.0
"Taro, raw",,112.0,1.5,0.2,26.5,4.1,,11.0
"Tomatillos, raw",,133.0,0.96,1.02,5.84,1.9,,1.0
"Tomatoes, raw",,20.0,0.82,0.31,4.04,1.2,,4.0
"Turnip, raw",,28.0,0.9,0.1,6.43,1.8,,67.0
"Turnips, raw",,28.0,0.9,0.1,6.43,1.8,,67.0
"Watercress, raw",,46.0,2.3,0.1,1.29,0.5,,41.0
"Watercress, raw",,11.0,2.3,0.1,1.29,0.5,,41.0
"Watermelon, raw",,30.0,0.61,0.15,7.55,0.4,,1.0
"Watermelon, raw",,127.0,0.61,0.15,7.55,0.4,,1.0
"Yam, raw",,494.0,1.53,0.17,27.9,4.1,,9.0
"Apples, raw, granny smith, with skin (Includes foods for USDA's Food Distribution Program)",,58.0,0.44,0.19,13.6,2.8,,1.0
"Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program)",,59.0,0.27,0.2,14.1,2.3,,1.0
"Coriander (cilantro) leaves, raw",,23.0,2.13,0.52,3.67,2.8,,46.0
"Acerola juice, raw",,23.0,0.4,0.3,4.8,0.3,,3.0
"Agave, raw (Southwest)",,68.0,0.52,0.15,16.2,6.6,,14.0
"Alfalfa sprouts, raw",,23.0,3.99,0.69,2.1,1.9,,6.0
"Amaranth leaves, raw",,97.0,2.46,0.33,4.02,,,20.0
"Avocados, raw, California",,697.0,1.96,15.4,8.64,6.8,,8.0
"Avocados, raw, Florida",,120.0,2.23,10.1,7.82,5.6,,2.0
"Bamboo shoots, raw",,115.0,2.6,0.3,5.2,2.2,,4.0
"Bananas, overripe, raw",,357.0,0.73,0.22,20.1,1.7,,
"Barley, pearled, raw",,352.0,9.91,1.16,77.7,15.6,,9.0
"Bean sprouts, raw",,30.0,3.04,0.18,5.94,1.8,,6.0
"Beef, ground, raw",,213.0,18.44,14.88,0.0,0.0,,373.0
"Beet greens, raw",,22.0,2.2,0.13,4.33,3.7,,226.0
"Beet greens, raw",,22.0,2.2,0.13,4.33,3.7,,226.0
"Broccoli raab, raw",,22.0,3.17,0.49,2.85,2.7,,33.0
"Broccoli raab, raw",,92.0,3.17,0.49,2.85,2.7,,33.0
"Broccoli, chinese, raw",,26.0,1.2,0.76,4.67,2.6,,7.0
"Broccoli, chinese, raw",,26.0,1.2,0.76,4.67,2.6,,7.0
"Broccoli, leaves, raw",,28.0,2.98,0.35,5.06,2.3,,27.0
"Broccoli, stalks, raw",,28.0,2.98,0.35,5.24,,,27.0
"Brussels sprouts, raw",,43.0,3.38,0.3,8.95,3.8,,25.0
"Brussels sprouts, raw",,43.0,3.38,0.3,8.95,3.8,,25.0
"Burdock root, raw",,72.0,1.53,0.15,17.3,3.3,,5.0
"Butterbur, (fuki), raw",,14.0,0.39,0.04,3.61,,,7.0
"Cabbage, Chinese, raw",,13.0,1.5,0.2,2.18,1.0,,65.0
"Cabbage, green, raw",,31.0,0.96,0.23,6.38,2.5,,16.0
"Cabbage, red, raw",,130.0,1.43,0.16,7.37,2.1,,27.0
"Cabbage, red, raw",,34.0,1.24,0.21,6.79,2.1,,12.0
"Cabbage, savoy, raw",,113.0,2.0,0.1,6.1,3.1,,28.0
"Carambola, (starfruit), raw",,128.0,1.04,0.33,6.73,2.8,,2.0
"Carrots, baby, raw",,145.0,0.64,0.13,8.24,2.9,,78.0
"Carrots, raw, salad",,212.0,1.25,15.74,17.62,2.6,,189.0
"Cauliflower, green, raw",,31.0,2.95,0.3,6.09,3.2,,23.0
"Chard, swiss, raw",,19.0,1.8,0.2,3.74,1.6,,213.0
"Chayote, fruit, raw",,19.0,0.82,0.13,4.51,1.7,,2.0
"Cherries, sweet, raw",,63.0,1.06,0.2,16.0,2.1,,0.0
"Chicken, ground, raw",,598.0,17.4,8.1,0.04,0.0,,60.0
"Chicory greens, raw",,96.0,1.7,0.3,4.7,4.0,,45.0
"Chicory roots, raw",,303.0,1.4,0.2,17.5,1.5,,50.0
"Chicory, witloof, raw",,17.0,0.9,0.1,4.0,3.1,,2.0
"Chrysanthemum leaves, raw",,24.0,3.36,0.56,3.01,3.0,,118.0
"Chrysanthemum, garland, raw",,99.0,3.36,0.56,3.02,3.0,,118.0
"Cress, garden, raw",,32.0,2.6,0.7,5.5,1.1,,14.0
"Crustaceans, shrimp, raw",,356.0,20.1,0.51,0.0,,,119.0
"Cucumber, peeled, raw",,10.0,0.59,0.16,2.16,0.7,,2.0
"Cucumber, with peel, raw",,65.0,0.65,0.11,3.63,0.5,,2.0
"Dandelion greens, raw",,45.0,2.7,0.7,9.2,3.5,,76.0
"Dandelion greens, raw",,188.0,2.7,0.7,9.2,3.5,,76.0
"Drumstick leaves, raw",,64.0,9.4,1.4,8.28,2.0,,9.0
"Drumstick pods, raw",,37.0,2.1,0.2,8.53,3.2,,42.0
"Durian, raw or frozen",,615.0,1.47,5.33,27.1,3.8,,2.0
"Egg, whole, raw",,143.0,12.4,9.96,0.96,0.0,,129.0
"Emu, ground, raw",,559.0,22.8,4.03,0.0,0.0,,56.0
"Emu, oyster, raw",,591.0,22.8,4.86,0.0,0.0,,150.0
"Fennel bulb, raw",,31.0,1.24,0.2,7.3,3.1,,52.0
"Fennel, bulb, raw",,129.0,1.24,0.2,7.3,3.1,,52.0
"Fiddlehead ferns, raw",,143.0,4.55,0.4,5.54,,,1.0
"Fireweed, leaves, raw",,103.0,4.71,2.75,19.2,10.6,,34.0
"Fish, bluefish, raw",,124.0,20.0,4.24,0.0,0.0,,60.0
"Fish, burbot, raw",,90.0,19.3,0.81,0.0,0.0,,97.0
"Fish, butterfish, raw",,146.0,17.3,8.02,0.0,0.0,,89.0
"Fish, carp, raw",,127.0,17.8,5.6,0.0,0.0,,49.0
"Fish, cisco, raw",,98.0,19.0,1.91,0.0,0.0,,55.0
"Fish, cusk, raw",,87.0,19.0,0.69,0.0,0.0,,31.0
"Fish, haddock, raw",,308.0,16.3,0.45,0.0,,,213.0
"Fish, haddock, raw",,309.0,16.3,0.45,0.0,0.0,,213.0
"Fish, ling, raw",,87.0,19.0,0.64,0.0,0.0,,135.0
"Fish, lingcod, raw",,85.0,17.7,1.06,0.0,0.0,,59.0
"Fish, mahimahi, raw",,85.0,18.5,0.7,0.0,0.0,,88.0
"Fish, milkfish, raw",,148.0,20.5,6.73,0.0,0.0,,72.0
"Fish, monkfish, raw",,76.0,14.5,1.52,0.0,0.0,,18.0
"Fish, pollock, raw",,235.0,12.3,0.41,0.0,,,333.0
"Fish, sablefish, raw",,195.0,13.4,15.3,0.0,0.0,,56.0
"Fish, salmon, raw",,188.0,20.44,11.16,0.0,0.0,,63.0
"Fish, scup, raw",,105.0,18.9,2.73,0.0,0.0,,42.0
"Fish, sheepshead, raw",,108.0,20.2,2.41,0.0,0.0,,71.0
"Fish, spot, raw",,123.0,18.5,4.9,0.0,0.0,,29.0
"Fish, swordfish, raw",,144.0,19.7,6.65,0.0,0.0,,81.0
"Fish, tilapia, raw",,400.0,20.1,1.7,0.0,0.0,,52.0
"Fish, tilefish, raw",,96.0,17.5,2.31,0.0,0.0,,53.0
"Fish, tuna, raw",,109.0,24.4,0.49,0.0,0.0,,45.0
"Frog legs, raw",,73.0,16.4,0.3,0.0,0.0,,58.0
"Ginger root, raw",,80.0,1.82,0.75,17.8,2.0,,13.0
"Goose, liver, raw",,133.0,16.4,4.28,6.32,0.0,,140.0
"Grape leaves, raw",,93.0,5.6,2.12,17.3,11.0,,9.0
"Grapes, muscadine, raw",,57.0,0.81,0.47,13.9,3.9,,1.0
"Green beans, raw",,40.0,1.97,0.28,7.41,3.0,,0.0
"Green peas, raw",,81.0,5.42,0.4,14.45,5.7,,5.0
"Guavas, common, raw",,68.0,2.55,0.95,14.3,5.4,,2.0
"Guavas, strawberry, raw",,69.0,0.58,0.6,17.4,5.4,,37.0
"Hearts of palm, raw",,115.0,2.7,0.2,25.6,1.5,,14.0
"Honeydew melon, raw",,36.0,0.54,0.14,9.09,0.8,,18.0
"Jerusalem-artichokes, raw",,73.0,2.0,0.01,17.4,1.6,,4.0
"Jute, potherb, raw",,34.0,4.65,0.25,5.8,,,8.0
"Kiwi fruit, raw",,64.0,1.06,0.44,14.0,3.0,,5.0
"Kiwifruit, green, raw",,241.0,1.06,0.44,14.0,3.0,,5.0
"Kiwifruit, green, raw",,255.0,1.14,0.52,14.7,3.0,,3.0
"Lamb, ground, raw",,1180.0,16.6,23.4,0.0,0.0,,59.0
"Lemon juice, raw",,22.0,0.35,0.24,6.9,0.3,,1.0
"Lemon peel, raw",,47.0,1.5,0.3,16.0,10.6,,6.0
"Lentils, sprouted, raw",,106.0,8.96,0.55,22.1,,,11.0
"Lettuce, arugula, raw",,25.0,2.58,0.66,3.65,1.6,,27.0
"Lettuce, Boston, raw",,18.0,0.88,0.11,3.26,0.9,,25.0
"Lime juice, raw",,25.0,0.42,0.07,8.42,0.4,,2.0
"Lotus root, raw",,311.0,2.6,0.1,17.2,4.9,,40.0
"Melons, cantaloupe, raw",,141.0,0.82,0.18,8.16,0.8,,30.0
"Melons, cantaloupe, raw",,141.0,0.84,0.19,8.16,0.9,,16.0
"Melons, casaba, raw",,118.0,1.11,0.1,6.58,0.9,,9.0
"Melons, honeydew, raw",,36.0,0.54,0.14,9.09,0.8,,18.0
"Mollusks, snail, raw",,90.0,16.1,1.4,2.0,0.0,,70.0
"Mushrooms, Chanterelle, raw",,32.0,1.49,0.53,6.86,3.8,,9.0
"Mushrooms, enoki, raw",,153.0,2.66,0.29,7.81,2.7,,3.0
"Mushrooms, maitake, raw",,31.0,1.94,0.19,6.97,2.7,,1.0
"Mushrooms, morel, raw",,129.0,3.12,0.57,5.1,2.8,,21.0
"Mushrooms, oyster, raw",,139.0,3.31,0.41,6.09,2.3,,18.0
"Mushrooms, portabella, raw",,22.0,2.11,0.35,3.87,1.3,,9.0
"Mushrooms, shiitake, raw",,141.0,2.24,0.49,6.79,2.5,,9.0
"Mushrooms, white, raw",,22.0,3.09,0.34,3.26,1.0,,5.0
"Mustard greens, raw",,27.0,2.86,0.42,4.67,3.2,,20.0
"Mustard greens, raw",,27.0,2.86,0.42,4.67,3.2,,20.0
"Nuts, acorns, raw",,387.0,6.15,23.9,40.8,,,0.0
"Oat bran, raw",,246.0,17.3,7.03,66.2,15.4,,4.0
"Onions, green, raw",,32.0,1.83,0.19,7.34,2.6,,16.0
"Onions, red, raw",,186.0,0.94,0.1,9.93,2.2,,1.0
"Onions, sweet, raw",,133.0,0.8,0.08,7.55,0.9,,8.0
"Onions, welsh, raw",,34.0,1.9,0.4,6.5,2.4,,17.0
"Onions, white, raw",,148.0,0.89,0.13,7.68,1.2,,2.0
"Onions, yellow, raw",,160.0,0.83,0.05,8.61,1.9,,1.0
"Orange peel, raw",,97.0,1.5,0.2,25.0,10.6,,3.0
"Oranges, raw, Florida",,192.0,0.7,0.21,11.5,2.4,,0.0
"Oranges, raw, navels",,196.0,0.91,0.15,11.8,2.0,,9.0
"Oranges, raw, with peel",,63.0,1.3,0.3,15.5,4.5,,2.0
"Ostrich, fan, raw",,117.0,21.8,2.65,0.0,0.0,,75.0
"Ostrich, ground, raw",,165.0,20.2,8.7,0.0,0.0,,72.0
"Ostrich, oyster, raw",,524.0,21.6,3.67,0.0,0.0,,83.0
"Ostrich, round, raw",,483.0,22.0,2.4,0.0,0.0,,72.0
"Ostrich, tenderloin, raw",,123.0,22.1,3.19,0.0,0.0,,86.0
"Passion fruit, raw",,97.0,2.2,0.7,23.38,10.4,,28.0
"Peaches, yellow, raw",,174.0,0.91,0.27,10.1,1.5,,13.0
"Peaches, yellow, raw",,165.0,0.91,0.25,9.54,1.5,,0.0
"Peanuts, spanish, raw",,2390.0,26.2,49.6,15.8,9.5,,22.0
"Peanuts, valencia, raw",,570.0,25.1,47.6,20.9,8.7,,1.0
"Peanuts, virginia, raw",,563.0,25.2,48.8,16.5,8.5,,10.0
"Pear, Asian, raw",,42.0,0.5,0.23,10.65,3.6,,0.0
"Pears, asian, raw",,42.0,0.5,0.23,10.6,3.6,,0.0
"Pears, raw, bartlett",,57.0,0.38,0.16,15.1,3.1,,7.0
"Peas, green, raw",,81.0,5.42,0.4,14.4,5.7,,5.0
"Pepper, banana, raw",,113.0,1.66,0.45,5.35,3.4,,13.0
"Peppers, banana, raw",,27.0,1.66,0.45,5.35,3.4,,13.0
"Peppers, hot, raw",,34.0,1.39,0.4,7.66,2.2,,6.0
"Peppers, hungarian, raw",,29.0,0.8,0.41,6.7,1.0,,1.0
"Peppers, jalapeno, raw",,29.0,0.91,0.37,6.5,2.8,,3.0
"Peppers, raw, NFS",,27.0,0.81,0.12,5.72,1.0,,0.0
"Peppers, serrano, raw",,134.0,1.74,0.44,6.7,3.7,,10.0
"Persimmons, japanese, raw",,70.0,0.58,0.19,18.6,3.6,,1.0
"Persimmons, native, raw",,127.0,0.8,0.4,33.5,,,1.0
"Plantains, green, raw",,635.0,1.25,0.07,36.7,2.2,,2.0
"Plantains, yellow, raw",,122.0,1.3,0.35,31.9,1.7,,4.0
"Potatoes, raw, skin",,58.0,2.57,0.1,12.4,2.5,,10.0
"Prickly pears, raw",,41.0,0.73,0.51,9.57,3.6,,5.0
"Pumpkin flowers, raw",,15.0,1.03,0.07,3.28,,,5.0
"Pumpkin leaves, raw",,19.0,3.15,0.4,2.33,,,11.0
"Radishes, oriental, raw",,18.0,0.6,0.1,4.1,1.6,,21.0
"Raw vegetable, NFS",,30.0,1.19,0.26,5.83,2.0,,53.0
"Romaine lettuce, raw",,21.0,0.98,0.07,4.06,1.8,,23.0
"Sapote, mamey, raw",,520.0,1.45,0.46,32.1,5.4,,7.0
"Seaweed, agar, raw",,26.0,0.54,0.03,6.75,0.5,,9.0
"Seaweed, irishmoss, raw",,205.0,1.51,0.16,12.3,1.3,,67.0
"Seaweed, kelp, raw",,43.0,1.68,0.56,9.57,1.3,,233.0
"Seaweed, laver, raw",,146.0,5.81,0.28,5.11,0.3,,48.0
"Seaweed, spirulina, raw",,26.0,5.92,0.39,2.42,0.4,,98.0
"Seaweed, wakame, raw",,45.0,3.03,0.64,9.14,0.5,,872.0
"Sesbania flower, raw",,27.0,1.28,0.04,6.73,,,15.0
"Soybeans, green, raw",,614.0,13.0,6.8,11.0,4.2,,15.0
"Tangerine juice, raw",,43.0,0.5,0.2,10.1,0.2,,1.0
"Taro leaves, raw",,42.0,4.98,0.74,6.7,3.7,,3.0
"Taro shoots, raw",,11.0,0.92,0.09,2.32,,,1.0
"Taro, tahitian, raw",,44.0,2.79,0.97,6.91,,,50.0
"Tomatoes, grape, raw",,113.0,0.83,0.63,5.51,2.1,,6.0
"Tomatoes, green, raw",,95.0,1.2,0.2,5.1,1.1,,13.0
"Tomatoes, orange, raw",,16.0,1.16,0.19,3.18,0.9,,42.0
"Tomatoes, yellow, raw",,15.0,0.98,0.26,2.98,0.7,,23.0
"Turkey, Ground, raw",,148.0,19.7,7.66,0.0,0.0,,58.0
"Turnip greens, raw",,132.0,1.5,0.3,7.13,3.2,,40.0
"Turtle, green, raw",,372.0,19.8,0.5,0.0,0.0,,68.0
"Veal, ground, raw",,197.0,18.6,13.1,0.0,0.0,,103.0
"Vinespinach, (basella), raw",,19.0,1.8,0.3,3.4,,,24.0
"Wasabi, root, raw",,456.0,4.8,0.63,23.5,7.8,,17.0
"Water convolvulus,raw",,19.0,2.6,0.2,3.13,2.1,,113.0
"Wild rice, raw",,357.0,14.7,1.08,74.9,6.2,,7.0
BANANA,Wonder Natural Foods Corp,312.0,12.5,6.25,40.6,6.2,,594.0
BANANA,Kid Vids Educational Entertainment,336.0,0.0,1.07,78.6,1.8,,7.0
"Bananas, dehydrated, or banana powder",,346.0,3.89,1.81,88.3,9.9,,3.0
"Banana, baked",,161.0,0.82,3.21,32.43,1.8,,3.0
"Banana, raw",,97.0,0.74,0.28,22.71,1.7,,0.0
Banana chips,,519.0,2.3,33.6,58.4,7.7,,6.0
Banana nectar,,74.0,0.26,0.13,18.01,0.6,,2.0
Banana pudding,,160.0,2.57,4.26,28.0,0.7,,128.0
Banana split,,199.0,2.42,6.88,32.59,1.0,,97.0
